Geo Point;Geo Shape;N_SQ_SPVP;N_SQ_CA;N_SQ_PC
48.8904985531,2.32240836228;"{""coordinates"": [[[2.32226743173148, 48.890529833422406], [2.32229129161045, 48.89055049199129], [2.322325376777367, 48.89058042472062], [2.322448984458671, 48.89051847442973], [2.322549576162134, 48.89046762188821], [2.322489074334619, 48.890416889422404], [2.322379106033696, 48.89047279972588], [2.322310055007001, 48.89050848093165], [2.322307497308643, 48.89050946470852], [2.32226743173148, 48.890529833422406]]], ""type"": ""Polygon""}";47;17;750053897
48.8902028213,2.37308068705;"{""coordinates"": [[[2.372921967281271, 48.890087057312755], [2.372915149695268, 48.89008818353365], [2.372913444601751, 48.89008832479092], [2.372922842973143, 48.89011909394845], [2.372928808896341, 48.89011824835222], [2.372937357041453, 48.89015393594341], [2.372942485223543, 48.890171919558995], [2.372914369604443, 48.8901879475263], [2.372877733275281, 48.89020847333699], [2.372872616986208, 48.890205243157105], [2.372837686139503, 48.89022661245814], [2.372870945195887, 48.89025062947143], [2.372860721932974, 48.8902570960122], [2.372889717153204, 48.890278444883265], [2.37288034556777, 48.89028462990154], [2.372933220210474, 48.89032508040966], [2.372944296246486, 48.89031903471479], [2.372973290873289, 48.890340665048676], [2.37298436620634, 48.89033433785878], [2.373017625073684, 48.890358495121475], [2.373052556249601, 48.89033698637727], [2.373047440273309, 48.89033361501345], [2.373083225108976, 48.89031505600842], [2.373109636827758, 48.89030099669145], [2.37313094780242, 48.8903045022992], [2.373187209869052, 48.890314179448495], [2.373184656184983, 48.89031853678464], [2.373230688617022, 48.89032807672716], [2.373246008148062, 48.890297159090274], [2.373258795550041, 48.89029996535498], [2.373272413288399, 48.89027185818061], [2.37328519932184, 48.89027466443543], [2.373309881181011, 48.89022393156917], [2.373297093794951, 48.89022112530971], [2.373310711156477, 48.89019315932074], [2.37329792377793, 48.890190353061335], [2.373314093692903, 48.890157328255164], [2.373271470275316, 48.89014806788785], [2.37326891661727, 48.89015242432717], [2.373213506269976, 48.89014134243485], [2.373190489129053, 48.89013671275063], [2.373187069610058, 48.8901211167963], [2.373177666465853, 48.89008472687318], [2.373184484695938, 48.89008332005229], [2.373172529692968, 48.890052270433024], [2.373163153986207, 48.890053819447914], [2.373147814402248, 48.89005593169317], [2.37313332549524, 48.89005818508679], [2.373130763102221, 48.89004933313581], [2.373081331749768, 48.89005581296504], [2.373078769132338, 48.89004822635775], [2.372998656904627, 48.890059070905124], [2.37300122063951, 48.89006792286598], [2.372961165031055, 48.89007341482055], [2.372963726970358, 48.890081282914466], [2.372921967281271, 48.890087057312755]]], ""type"": ""Polygon""}";51;19;750066333
48.8901942771,2.35813740019;"{""coordinates"": [[[2.358051291582564, 48.89021223873573], [2.358201300386862, 48.890207432870426], [2.358229419823299, 48.89018803679153], [2.358228562119163, 48.890174969524416], [2.358047018601942, 48.89018526131146], [2.358051291582564, 48.89021223873573]]], ""type"": ""Polygon""}";53;18;750063750
48.8864003404,2.31936794889;"{""coordinates"": [[[2.319590797437554, 48.886435800792135], [2.31951922961114, 48.88636890660249], [2.319437438418374, 48.88629344029749], [2.319433176078889, 48.88629568777819], [2.319371829951735, 48.88624734271774], [2.31934710953588, 48.88626124972789], [2.319166391480415, 48.886360564114156], [2.319141671016061, 48.88637404929502], [2.31916211974212, 48.88638866547315], [2.319198758264982, 48.88641508747757], [2.319208982848085, 48.886422536308295], [2.319263510593462, 48.88647326907123], [2.319336781829695, 48.88654128736179], [2.31934871013736, 48.88655267054058], [2.319440772218322, 48.88650842340885], [2.319499588871025, 48.886479767804026], [2.319590797437554, 48.886435800792135]]], ""type"": ""Polygon""}";293;17;750057427
48.8655677474,2.32715472992;"{""coordinates"": [[[2.327379505679145, 48.865598305097855], [2.327206600129271, 48.86542623440443], [2.326938230291821, 48.865513540422384], [2.326966336580624, 48.86554705523572], [2.327096645385577, 48.86572144091634], [2.327331795239771, 48.865618745301674], [2.327379505679145, 48.865598305097855]]], ""type"": ""Polygon""}";5763;1;750000908
48.8810769367,2.37647505867;"{""coordinates"": [[[2.376786097765309, 48.881104951434935], [2.376686353592794, 48.881056229034186], [2.376498803873238, 48.88096959942894], [2.376333354564856, 48.88081073811072], [2.376251483890826, 48.88073250161727], [2.376198667375558, 48.880755985810076], [2.376377763481609, 48.880930719625546], [2.376277266947536, 48.881008176928226], [2.37624916339199, 48.881030528127404], [2.376284206850297, 48.88116329877955], [2.376482837786337, 48.881252735664646], [2.376587694526564, 48.88130131577366], [2.376786097765309, 48.881104951434935]]], ""type"": ""Polygon""}";5702;19;750067146
48.8690104587,2.3322105591;"{""coordinates"": [[[2.332210383081707, 48.869216762631275], [2.33228876812455, 48.86918304289343], [2.332225728254475, 48.869117843186345], [2.33232626571407, 48.86907309425916], [2.332359494779334, 48.86905834152952], [2.33243787917733, 48.869025816014926], [2.332471959345154, 48.86901134409898], [2.332587832175586, 48.86896336369872], [2.332520533333412, 48.868890295416485], [2.332453234150036, 48.8688165238023], [2.33221467189901, 48.86891220428522], [2.332166965652912, 48.86886470910892], [2.332110733499179, 48.86889091247232], [2.331960778228062, 48.86896074149538], [2.332018706916457, 48.86901954727976], [2.331897721437979, 48.86907378050292], [2.331819335561325, 48.86910904595439], [2.331856818651638, 48.86914846025462], [2.331902821124137, 48.869194760698456], [2.331942865068245, 48.869177690745175], [2.331953088978834, 48.86917263234689], [2.332048515469086, 48.86913195792923], [2.332053627576466, 48.86913090454823], [2.332104748133571, 48.86910765131624], [2.332210383081707, 48.869216762631275]]], ""type"": ""Polygon""}";5723;2;750002914
48.8658981348,2.32688137432;"{""coordinates"": [[[2.327379505679145, 48.865598305097855], [2.327331795239771, 48.865618745301674], [2.327096645385577, 48.86572144091634], [2.326966336580624, 48.86554705523572], [2.326938230291821, 48.865513540422384], [2.326139075632189, 48.86577236405402], [2.326162923453247, 48.86580384053814], [2.326547031694365, 48.8663187798816], [2.326949168692219, 48.8661879271214], [2.327667387301607, 48.8659538926656], [2.327718505979382, 48.86593724603266], [2.327379505679145, 48.865598305097855]]], ""type"": ""Polygon""}";5750;1;750000907
48.8955666044,2.32961021125;"{""coordinates"": [[[2.329482619016115, 48.89558428738326], [2.329486028015334, 48.89558456817295], [2.329677823430917, 48.89560256531907], [2.32970425129318, 48.89558064659219], [2.329659935300672, 48.89551643069589], [2.32948858818253, 48.89557079860609], [2.329482619016115, 48.89558428738326]]], ""type"": ""Polygon""}";9;18;750061390
48.8921693047,2.32169220462;"{""coordinates"": [[[2.321786201998058, 48.892187530291444], [2.321772568785278, 48.89217151074036], [2.321766604818503, 48.892163641141806], [2.321738487242601, 48.892127947750204], [2.321729966223617, 48.89211797003708], [2.321722298082896, 48.8921078523628], [2.321598691483711, 48.89215125416507], [2.321661742877497, 48.89223051094049], [2.321786201998058, 48.892187530291444]]], ""type"": ""Polygon""}";25;17;750053854
