N_SQ_EPP;N_SQ_CA;N_SQ_PC;geo_shape;geo_point_2d
30;6;750010751;"{""coordinates"": [2.329255120948879, 48.847988353897975], ""type"": ""Point""}";48.8479883539,2.32925512095
43;9;750020535;"{""coordinates"": [2.3428034748039073, 48.87187344832929], ""type"": ""Point""}";48.8718734483,2.3428034748
81;18;750063038;"{""coordinates"": [2.332268310715249, 48.8841412767382], ""type"": ""Point""}";48.8841412767,2.33226831072
102;14;750038471;"{""coordinates"": [2.336183236583869, 48.83528125474981], ""type"": ""Point""}";48.8352812547,2.33618323658
42;9;750020266;"{""coordinates"": [2.328020153025972, 48.87766468986862], ""type"": ""Point""}";48.8776646899,2.32802015303
49;11;750027682;"{""coordinates"": [2.3880123141916663, 48.85979855255923], ""type"": ""Point""}";48.8597985526,2.38801231419
52;11;750025898;"{""coordinates"": [2.379130604430046, 48.85375145626258], ""type"": ""Point""}";48.8537514563,2.37913060443
54;11;750026673;"{""coordinates"": [2.374633646141294, 48.854482892017366], ""type"": ""Point""}";48.854482892,2.37463364614
58;10;750022118;"{""coordinates"": [2.352812866803251, 48.87250938638632], ""type"": ""Point""}";48.8725093864,2.3528128668
60;11;750026183;"{""coordinates"": [2.373480596703477, 48.85281039319942], ""type"": ""Point""}";48.8528103932,2.3734805967
83;18;750062940;"{""coordinates"": [2.361162068480598, 48.893150111611135], ""type"": ""Point""}";48.8931501116,2.36116206848
84;13;750033084;"{""coordinates"": [2.3496316845321, 48.836737858542804], ""type"": ""Point""}";48.8367378585,2.34963168453
9;2;750001838;"{""coordinates"": [2.3348177572518782, 48.867379411163476], ""type"": ""Point""}";48.8673794112,2.33481775725
21;4;750005578;"{""coordinates"": [2.356165357178514, 48.851648427821], ""type"": ""Point""}";48.8516484278,2.35616535718
69;11;750031254;"{""coordinates"": [2.373710665289914, 48.851135325191606], ""type"": ""Point""}";48.8511353252,2.37371066529
71;12;750029416;"{""coordinates"": [2.384508082332371, 48.84926218353014], ""type"": ""Point""}";48.8492621835,2.38450808233
76;18;750065419;"{""coordinates"": [2.346243984449543, 48.8952808808131], ""type"": ""Point""}";48.8952808808,2.34624398445
80;18;750063909;"{""coordinates"": [2.34767500200893, 48.88569524835734], ""type"": ""Point""}";48.8856952484,2.34767500201
89;8;750016672;"{""coordinates"": [2.310524174580391, 48.87094813546148], ""type"": ""Point""}";48.8709481355,2.31052417458
103;14;750039022;"{""coordinates"": [2.337008134990491, 48.83438899510626], ""type"": ""Point""}";48.8343889951,2.33700813499
51;11;750025769;"{""coordinates"": [2.383233410781473, 48.85517114600061], ""type"": ""Point""}";48.855171146,2.38323341078
95;20;0;"{""coordinates"": [2.404079007088967, 48.871595087011], ""type"": ""Point""}";48.871595087,2.40407900709
104;14;750039055;"{""coordinates"": [2.334842703774985, 48.83158398124088], ""type"": ""Point""}";48.8315839812,2.33484270377
110;8;0;"{""coordinates"": [2.324818805410353, 48.86957728892268], ""type"": ""Point""}";48.8695772889,2.32481880541
35;15;0;"{""coordinates"": [2.279691211948257, 48.85002883368671], ""type"": ""Point""}";48.8500288337,2.27969121195
57;10;750023009;"{""coordinates"": [2.365672763643532, 48.88124239471117], ""type"": ""Point""}";48.8812423947,2.36567276364
105;14;750037111;"{""coordinates"": [2.330042360859167, 48.83291695897613], ""type"": ""Point""}";48.832916959,2.33004236086
22;4;750005623;"{""coordinates"": [2.357624615303243, 48.85210924544179], ""type"": ""Point""}";48.8521092454,2.3576246153
25;4;750005992;"{""coordinates"": [2.359785139570652, 48.85113215224551], ""type"": ""Point""}";48.8511321522,2.35978513957
61;11;750027414;"{""coordinates"": [2.371846441318885, 48.852872495583185], ""type"": ""Point""}";48.8528724956,2.37184644132
70;12;750029318;"{""coordinates"": [2.3734671334646062, 48.84869690170697], ""type"": ""Point""}";48.8486969017,2.37346713346
