N_SQ_CA;NUMEVP;TEXTE;geo_shape;geo_point_2d
5;51;5-51;"{""coordinates"": [[[2.349733809227748, 48.84555699408134], [2.349740620728899, 48.845553199829425], [2.34972954470487, 48.84552811942225], [2.349726988123075, 48.84552453686418], [2.349716765797343, 48.8455109783042], [2.34970143376276, 48.84549587564693], [2.349674187946482, 48.84551147534434], [2.349610329578644, 48.845548015464125], [2.349563484128142, 48.845513666031174], [2.34952516835092, 48.84553580051817], [2.349491958843431, 48.845543814020665], [2.349494520915332, 48.845571845724635], [2.3494885599259963, 48.84557212718892], [2.349491974337123, 48.84560676303274], [2.349493686366451, 48.84563837766123], [2.349488578405546, 48.84564378831866], [2.349658029022278, 48.84559648677841], [2.349733809227748, 48.84555699408134]]], ""type"": ""Polygon""}";48.8455680692,2.34960015444
6;29;6-29;"{""coordinates"": [[[2.328622342186751, 48.84603052882555], [2.328584850765409, 48.84616204526462], [2.328744945601668, 48.8461791986954], [2.328889704382636, 48.84624201731633], [2.328951879879189, 48.84618181204939], [2.328622342186751, 48.84603052882555]]], ""type"": ""Polygon""}";48.8461420438,2.32874943417
18;158;18-158;"{""coordinates"": [[[2.340613199685059, 48.88858117047541], [2.340753290687765, 48.888575748198505], [2.340756245577901, 48.88867132416738], [2.340756284064363, 48.88867528591085], [2.340777534008004, 48.88867305206577], [2.340776808811992, 48.88863920193415], [2.340784527746656, 48.88863909514241], [2.340782079369998, 48.88854627209994], [2.340567897394656, 48.88855106426103], [2.340590795778227, 48.888642221962954], [2.34038758298629, 48.888664392534956], [2.340397857591423, 48.88870250771809], [2.340313154116358, 48.88871161980754], [2.340317592841354, 48.888726180070265], [2.340398383226513, 48.88871753385654], [2.340603541182673, 48.888692653516635], [2.340603145374856, 48.8886913859851], [2.340621845781115, 48.888689419616476], [2.340613199685059, 48.88858117047541]]], ""type"": ""Polygon""}";48.8886380313,2.3405788067
17;74;17-74;"{""coordinates"": [[[2.3111283875616992, 48.881363757450345], [2.311218195109803, 48.881428365271816], [2.311309994514663, 48.88135422789342], [2.311244154411287, 48.88131923103108], [2.311222639032886, 48.88130774055572], [2.311147395445117, 48.881358022041624], [2.311142206360603, 48.881354565718176], [2.3111283875616992, 48.881363757450345]]], ""type"": ""Polygon""}";48.8813655738,2.31122042865
20;35;20-35;"{""coordinates"": [[[2.393805988889015, 48.87147739691023], [2.393880948082058, 48.87146169279451], [2.393910762538949, 48.87145570579986], [2.393997648820058, 48.871438519643085], [2.394097311236728, 48.87141788439279], [2.394243822864086, 48.87138760066495], [2.394190002597121, 48.871263064411636], [2.393906353454652, 48.87132531311893], [2.393712123145963, 48.87135196784498], [2.393772771297737, 48.87148739026946], [2.393806843157062, 48.87147978537448], [2.393805988889015, 48.87147739691023]]], ""type"": ""Polygon""}";48.8713745018,2.3939780265
16;91;16-91;"{""coordinates"": [[[2.279786168654446, 48.864397492678236], [2.280206908714116, 48.86480132813599], [2.280317314568717, 48.86475299901634], [2.279817020616678, 48.86438340112334], [2.279786168654446, 48.864397492678236]]], ""type"": ""Polygon""}";48.8646197735,2.2800746995
4;5;4-5;"{""coordinates"": [[[2.350219636609243, 48.853803045124806], [2.350238460136012, 48.85391126583113], [2.350377283745499, 48.85388602648554], [2.35034234157653, 48.85380249727711], [2.350319345451916, 48.85380320252267], [2.35031508249637, 48.853791610990875], [2.350219636609243, 48.853803045124806]]], ""type"": ""Polygon""}";48.8538501845,2.35029192961
16;66;16-66;"{""coordinates"": [[[2.26748295605487, 48.847210326674876], [2.267241320691228, 48.8469757210561], [2.2673114454720222, 48.84694204382546], [2.267234146774374, 48.84687255924259], [2.267194566693556, 48.846891897841985], [2.267167903840088, 48.84687119297006], [2.266955378805525, 48.846964578182025], [2.26705513611785, 48.847060589769605], [2.267080002115656, 48.84704986695463], [2.267318493486354, 48.84728378450263], [2.267363655971589, 48.84726343858568], [2.267378994944083, 48.84725691407367], [2.267384106649196, 48.84725466907739], [2.267422454315641, 48.84723712790386], [2.26748295605487, 48.847210326674876]]], ""type"": ""Polygon""}";48.8470650213,2.26722366288
12;6;12-6;"{""coordinates"": [[[2.411187736715131, 48.845591152949225], [2.411227993750232, 48.845747165183624], [2.411597534183178, 48.845717766651745], [2.411595785539759, 48.8456876278709], [2.411783964934677, 48.84567478861932], [2.411789107149612, 48.845696915543236], [2.412139053010942, 48.84566261014961], [2.41219922754725, 48.84547252860703], [2.411969347966283, 48.84550218833996], [2.41188601503091, 48.84558282676914], [2.4115718447141132, 48.845623360047774], [2.41141676971953, 48.845563532986134], [2.411187736715131, 48.845591152949225]]], ""type"": ""Polygon""}";48.8456273627,2.4116955097
12;29;12-29;"{""coordinates"": [[[2.409828036706578, 48.84460732610696], [2.40971667788178, 48.84474130502257], [2.409391099773521, 48.84513178386547], [2.409828221337671, 48.84531515391629], [2.409670270402529, 48.84548361256751], [2.410039889097365, 48.845641496406564], [2.410045843772759, 48.845636926469915], [2.410049246999408, 48.845634816277766], [2.410051797995946, 48.84563263712941], [2.410055201447697, 48.84563038663885], [2.410057753247997, 48.84562813644531], [2.410061156130658, 48.845625815802066], [2.410063706793393, 48.84562342530343], [2.41006625824993, 48.84562096465899], [2.410068809696047, 48.84561850491379], [2.410072209745751, 48.84561498991293], [2.410075612176473, 48.84561210717022], [2.410077312206602, 48.84560950652457], [2.410079861966405, 48.845606834523025], [2.4100824113833133, 48.845603109375155], [2.410084961818864, 48.84560001647878], [2.410086661504996, 48.84559720538217], [2.4100883598283622, 48.84559439427885], [2.410090057250462, 48.845590458977384], [2.410091756259872, 48.84558722607994], [2.410092602363715, 48.845584345121445], [2.41009430228452, 48.84558139282714], [2.410095149182025, 48.845578441722864], [2.410095995178222, 48.845574366420465], [2.410096841399443, 48.8455709935153], [2.410097688296736, 48.84556804241094], [2.4100985337238763, 48.845563896956], [2.410098529657292, 48.845560524355], [2.4100985243357282, 48.84555750339556], [2.41009851890679, 48.84555328809226], [2.410098511213778, 48.845548791279676], [2.410097655487212, 48.84554541987535], [2.4100976501656, 48.84554239891587], [2.410096794439193, 48.84553902751157], [2.409828036706578, 48.84460732610696]]], ""type"": ""Polygon""}";48.8451565161,2.40979754649
