Image;code postal;Commune;Nom;Adresse;Contact mail;Contact téléphonique;Site internet;Réseau social Facebook;Réseau social Twitter;Réseau social Youtube;Texte descriptif;Etat;Typologie;Type innovation;XY;Horaires
;75019;Paris 19e;Crèche collective Cité Lepage;rue Cité Lepage;;;;;;;Crèche pilote dans la démarche écolo crèche généralisé par la suite.;existant;Expérimentation;Experimentation Immeubles résilients et durables;;
;75013;Paris 13e;fabrique de la rue Watt (2R2C);rue Watt;;;;;;;;projet;Innovation sociale et sociétale;Lieux innovants de la culture;;
;75012;Paris 12e;Groupe scolaire Wattignies;52 rue de Wattignies;;;;;;;Expérimentation pour récupérer  la chaleur des égouts pour chauffer le bâtiment;existant;Experimentation;Immeubles résilients et durables;;
;75014;Paris 14e;Rejoué - Atelier;14 rue du Général Humbert;contact@rejoue.asso;01 72 38 88 76;http://rejoue.asso.fr/;https://www.facebook.com/Rejoué-187849474599104/;Rejoue;-;Rejouer avec vos jouets d’enfance. C’est ce que propose l’association Rejoué, qui récupère, restaure et revalorise les jouets usagés, qui sont remis à neuf et revendus afin qu’ils aient une seconde vie. Elle s’inscrit ainsi dans une économie circulaire, dans le respect des valeurs d’écologie et d’économie sociale et solidaire. Ils cherchent un local plus grande à Paris pour déménager;existant;Nouvelles formes d’économie « plurielle »;Economie sociale et solidaire;48.826417,2.308334;
;93100;Montreuil;Atrium;104-112 avenue de la Resistance;;;;;;;;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.86461,2.435966;
;94200;Ivry-sur-Seine;Centre d'Innovation Nucleus;22 rue Pierre et Marie Curie;;;;;;;;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.814708,2.374281;
;75012;Paris 12e;Gare de la Rapée;;;;;;;;;projet;Potentiels foncier ou immobilier;Potentiels foncier ou immobilier;48.8305131681,2.38877491909;
;75013;Paris 13e;Paris Innovation Biopark;6-14 rue Jean-Antoine de Baïf;-;-;-;-;-;-;Faire vivre dans la capitale des secteurs de haute technologie de même qu’un artisanat traditionnel de haute qualité, c’est l’objectif que s’est fixé la mairie de Paris avec le programme Paris Innovation, en réunissant des pépinières, incubateurs et pôles d’entreprises. Cet hôtel industriel est réservé aux entreprises de biotechnologie.;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.82723,2.382796;
;75020;Paris 20e;Porte de Vincennes - Lot B;;;;;;;;;projet;Potentiels foncier ou immobilier;Potentiels foncier ou immobilier;48.8502442211,2.41497645373;
;75018;Paris 18e;Réinventer Paris -  Triangle Éole Évangile;198 rue d'Aubervilliers;;;;;;;;projet;Fabrique du projet;Montages innovants;48.896242,2.371075;
;75012;Paris 12e;Rue Verte;rue de Cîteaux;;;;;;;;projet;Innovation dans les usages;Espaces insolites;48.848336,2.380601;
;75020;Paris 20e;Start-Way Ménilmontant;83 rue de Ménilmontant;hello@start-way.com;06 25 43 86 48;http://www.start-way.com/;https://www.facebook.com/StartWay.coworking/;StartWay_SW;-;Start-Way met à disposition des espaces de travail collaboratifs en co-working, dédiés aux indépendants, télétravailleurs et entreprises créatives et innovantes. Les bureaux à partager de Ménilmontant contiennent 18 postes de travail et une grande salle de réunion, au cœur du quartier d’Oberkampf.;existant;Innovation sociale et sociétale;Coworking;48.868806,2.390058;
;94600;Choisy-le-Roi;TMP Lab;30 avenue de Newburn;;;;;;;;existant;Nouvelles économies et industries;Fablab;48.755091,2.411336;
;75019;Paris 19e;Le Cargo;157 bd Macdonald;-;-;http://www.lecargo.paris/;-;-;-;Cet immeuble de 15 000m2 sur 6 étages, qui fait partie du projet de reconversion des entrepôts Macdonald, est le plus grand incubateur de Paris. Spécialisé dans l’accueil des industries créatives et liées aux métiers du numérique, il a été pensé comme un hub, au carrefour entre Paris et la Seine Saint-Denis.;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.898813,2.378513;
;94270;Le Kremlin-Bicêtre;L'Echo;53 AV DE FONTAINEBLEAU;;;;;;;;existant;Innovation sociale et sociétale;;48.81269,2.361677;
;75019;Paris 19e;Place des fêtes;Place des fêtes;dvd.places@paris.fr;;http://www.paris.fr/services-et-infos-pratiques/urbanisme-et-architecture/projets-urbains-et-architecturaux/reinventons-nos-places-2540;;;;Apaiser l’espace public, rééquilibrer les usages au profit des piétons et des circulations douces et valoriser les espaces naturels. Procès caractérisé par la participation citoyenne en lien étroit avec des techniciens. Arbitrage sur la proposition finale à faire en 2016.;projet;Fabrique du projet;Participation et concertation;;
;75013;Paris 13e;Réinventer Paris -  In Vivo;2 avenue d'Italie;;;http://www.reinventer.paris/fr/sites/1250-italie-13e.html;;;;"L'ensemble se répartit dans quatre volumes bâtis que distingue leur rapport à la végétation: la Tree House, développant en grands balcons des arbustes et arbres propices à accueillir la biodiversité en ville; la Plant House, dévolue à toutes les formes de potagers et petite agriculture urbaine en loggias, sous serres ou à l’air libre en toiture; l’AlgoHouse, avec une bio façade produisant des microalgues pour la recherche médicale; la Lombric House, une construction où l’on élève des lombrics, pour le lombricompostage des déchets organiques des habitants et l’amendement des cultures";projet;Fabrique du projet;Montages innovants;48.824702,2.357729;
;94600;Choisy-le-Roi;Usine Hollander;1 Rue du Dr Roux;;;;;;;;projet;Innovation sociale et sociétale;Lieux innovants de la culture et du sport;;
;94110;Arcueil;Anis Gras;55 avenue Laplace;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture et du sport;48.809039,2.329941;
https://opendata.paris.fr/api/v2/catalog/datasets/arc_innovation/files/a08d33e30ba45fd9a48cb78bdb469782;75017;Paris 17e;Be Coworking;60 rue de la Jonquière;contact@becoworking.fr;09 50 05 19 19;http://be-coworking.fr/espace/la-jonquiere/;https://www.facebook.com/becoworking.fr;be_coworking;-;Be Co-working est une communauté qui rassemble entrepreneurs, start-ups et free lance qui cherche à réinventer la façon dont on travaille et crée au quotidien. L’espace Jonquière dans le quartier des Épinettes vous permet de développer pleinement votre activité, votre réseau, vos compétences et votre bien-être.;existant;Innovation sociale et sociétale;Coworking;48.8939,2.32185;
;75013;Paris 13e;Collège Evariste Galois;11 rue du dr bourneville;parisculteurs@paris.fr;;http://www.parisculteurs.paris/fr/sites/1380-college-evariste-galois-13e.html;;;;APP Parisculteurs. Entre le parc Kellerman et le square Hélène Boucher, dans le 13ème arrondissement, se situe le collège Evariste Galois. Il dispose d’un toit terrasse de 470 m² ainsi que d’une terrasse de 120 m² exposée sud, dont les accès futurs prévus par escaliers sont extérieurs aux bâtiments;projet;Nouveaux lieux - nouveaux services;Agriculture urbaine;;
;75018;Paris 18e;Ecod’air;189 rue d'Aubervilliers;contact@ecodair.org;;http://www.ordinateur-occasion.com/ecodair-463.html;https://fr-fr.facebook.com/ecodair;;;Ecodair est une entreprise de reconditionnement d'ordinateurs portables et fixes ayant pour particularité d'employer des personnes handicapées psychiques ou en insertion.;existant;Nouvelles économies et industries;Economie sociale et solidaire;;
;75020;Paris 20e;Frac le Plateau;22 rue des Alouettes;;01 76 21 13 41;http://www.fraciledefrance.com/;https://www.facebook.com/Fracidf/timeline;FracIdF;;Le plateau - espace d’exposition inauguré en 2002 comme suite à la mobilisation d’une association de riverains visant à réorienter un programme de construction résidentielle dans ce quartier du 19ème arrondissement de Paris – est un lieu désormais incontournable de l’art contemporain en France. Le plateau est l’un des deux espaces d’exposition du Fonds régional d'art contemporain (FRAC) d’Île-de-France;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;75018;Paris 18e;Halle Saint-Pierre;2 rue Ronsard;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;93430;Villetaneuse;Incub13 Université Paris 13;99 avenue jean-Baptiste Clement;;;;;;;;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.956595,2.338335;
;75019;Paris 19e;La Mutinerie;29 Rue de Meaux;;;;;;;Mutinerie est un espace de co-working à Paris ouvert depuis mars 2012. Ce lieu est destiné à fournir aux indépendants et entrepreneurs un espace de travail, de rencontres et d’échanges.;existant;Innovation sociale et sociétale;Coworking;48.879785,2.371914;
;94250;Gentilly;Le Générateur;16 rue Charles Frérot;;;;;;;;existant;Innovation sociale et sociétale;;48.816038,2.352099;
;75013;Paris 13e;Le Petit Bain;7 Port de la Gare;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;75018;Paris 18e;Les gouttes d'Or de la Mode et du Design (PTCE);6 rue des gardes;contact@madeingouttedor.paris;-;http://www.madeingouttedor.paris/;https://www.facebook.com/madeingouttedor;madeingouttedor;-;Association des professionnels du textile, de la mode et du design du quartier de la Goutte d’Or, elle met en place des projets innovants afin de développer les logiques économiques, créatives et coopératives des entreprises présentes dans le quartier.;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.8854,2.35284;
;75013;Paris 13e;Ma Ressourcerie;126 avenue d'Italie;contact@maressourcerieparis13.org;01 80 06 40 88;http://maressourcerieparis13.org/;https://www.facebook.com/MaRessourcerie/;MaRessourcerie;-;Collecter les objets hors d’usages, leur donner une seconde vie par une revente à prix solidaire, favoriser la création d’objets à partir de matériaux de récupération, contribuer au développement durable par le réemploi des objets donnés. Ma Ressourcerie propose une nouvelle voie de consommation alternative et créative.;existant;Nouvelles formes d’économie « plurielle »;Economie sociale et solidaire;48.823744,2.357968;
;93300;Aubervilliers;Zingaro;176 AV JEAN JAURES;;;;;;;;projet;Innovation sociale et sociétale;Lieux innovants de la culture et du sport;48.91304,2.402305;
https://opendata.paris.fr/api/v2/catalog/datasets/arc_innovation/files/43cef7bedd9a48ec06d1f981e2856d5d;75013;Paris 13e;Digital Village Paris;15 rue Vandrezane;contact@digital-village.fr;06 66 91 25 75;http://digital-village.fr/;https://www.facebook.com/digitalvillage.fr/;DV_Paris;-;Travailler autrement. C’est ce que propose le Digital Village, qui regroupe un collectif de freelances (la Villagence), un incubateur et un espace de co-working. Ces trois espaces complémentaires permettent de fédérer les compétences digitales et de favoriser le développement de chacun des entrepreneurs.;existant;Innovation sociale et sociétale;Coworking;48.828039,2.354279;
;93100;Montreuil;Le Cub;44 rue Hoche;;;http://www.cpa-cps.com/projets/le-cub/fiche-projet/;;;;"Le CUB (Comme un baobab) Le CUB est situé au 44 rue Hoche à Montreuil. Conçu dès les premières phases du projet avec la participation de ses futurs habitants, le bâtiment est constitué de 13 logements, deux locaux d’activité et un grand local mutualisé ayant le statut d’ERP pour accueillir les différentes activités proposées par certains des membres du groupe (AMAP, activités culturelles, local associatif). Forme juridique : • Vente en VEFA (vente en futur état d’achèvement) • Copropriété. Gestion et entretien du bâtiment par les habitants dans le cadre d’un syndic coopératif 

Programme : 
• 13 habitations du Studio/ateliers au 5 pièces + 2 local d’activité sur rue 

• 1 local mutualisé en ERP";existant;Fabrique du projet;Montages innovants;;
;94250;Gentilly;Maison de la photographie Robert Doisneau;1 rue de la division du Général Leclerc;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture et du sport;48.814259,2.347492;
;93100;Montreuil;Mundo;47 avenue Pasteur;;;;;;;;existant;Nouvelles formes d’économie « plurielle »;Economie sociale et solidaire;48.865411,2.437354;
;75019;Paris 19e;Porte d'Aubervilliers;Avenue de la Porte d'Auvervilliers et Boulevard Peripherique;;;;;;;;projet;Innovation dans les usages;;48.89953,2.37156;
;75020;Paris 20e;Réinventer Paris -  Piat;57 rue Piat;;;http://www.reinventer.paris/fr/sites/1253-piat-20e.html;;;;;projet;Fabrique du projet;Montages innovants;48.873083,2.38352;
