Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
15843;13, RUE JULES SIMON LECOURBE 2;75015;Paris;2019;ELOGIE SIEMP;58;58;0;0;0;acquisition conventionnement;;15;logement familial;648121.143;6860260.595;"{""coordinates"": [2.293162257791498, 48.84030514051931], ""type"": ""Point""}";48.84030514051931,2.293162257791498
15850;48,58,61 RUE DE LA CHINE;75020;Paris;2019;PARIS HAB;68;68;0;0;0;acquisition conventionnement;;20;logement familial;655739.45;6863436.712;"{""coordinates"": [2.39662492733117, 48.869436099719906], ""type"": ""Point""}";48.869436099719906,2.39662492733117
15865;14-16, RUE DU RENDEZ VOUS 4-8, CITE DU RENDEZ VOUS;75012;Paris;2019;ELOGIE SIEMP;13;13;0;0;0;acquisition réhabilitation;;12;logement familial;656295.015;6860750.335;"{""coordinates"": [2.404474482378847, 48.845315592578146], ""type"": ""Point""}";48.845315592578146,2.404474482378847
2362;25-31, RUE PRADIER;75019;Paris;2013;PARIS HAB;2;0;2;0;0;acquisition conventionnement;;19;logement familial;654701.8898;6864211.848;"{""coordinates"": [2.382398472209255, 48.876334609317915], ""type"": ""Point""}";48.876334609317915,2.382398472209255
2373;60, RUE NOTRE DAME DE NAZARETH;75003;Paris;2013;RIVP;2;0;2;0;0;acquisition réhabilitation;;3;logement familial;652838.6155;6863264.2491;"{""coordinates"": [2.357100587146874, 48.86767930055678], ""type"": ""Point""}";48.86767930055678,2.357100587146874
2171;11-13 BD JULES FERRY;75011;Paris;2012;RIVP;9;2;5;0;2;construction neuve;;11;logement familial;653627.0186;6863230.9396;"{""coordinates"": [2.367851193600906, 48.86743699797592], ""type"": ""Point""}";48.86743699797592,2.367851193600906
2194;55-57 BD DE MENILMONTANT;75011;Paris;2012;RIVP;15;0;15;0;0;acquisition réhabilitation;;11;logement familial;655069.4546;6862609.9434;"{""coordinates"": [2.387579095525505, 48.86195469202713], ""type"": ""Point""}";48.86195469202713,2.387579095525505
2196;5-7, RUE DU SAHEL;75012;Paris;2012;RIVP;8;3;5;0;0;construction neuve;;12;logement familial;656095.7335;6860293.3609;"{""coordinates"": [2.401806340834638, 48.84119245038071], ""type"": ""Point""}";48.84119245038071,2.401806340834638
2222;179, RUE SAINT MAUR;75010;Paris;2012;SIEMP;14;4;10;0;0;construction neuve;;10;logement familial;653978.362;6863597.7107;"{""coordinates"": [2.372600721371216, 48.87076050505745], ""type"": ""Point""}";48.87076050505745,2.372600721371216
2226;6, RUE JULIEN LACROIX;75020;Paris;2012;SIEMP;21;3;5;0;13;acquisition réhabilitation;;20;logement familial;654962.3062;6863370.928;"{""coordinates"": [2.38603803123538, 48.86879064222959], ""type"": ""Point""}";48.86879064222959,2.38603803123538
2249;8-10 ET 43-45, RUE DAVY;75017;Paris;2013;COOP.FAM.;39;39;0;0;0;construction neuve;;17;foyer pour jeunes travailleurs ou résidence pour jeunes;650566.8554;6865863.5388;"{""coordinates"": [2.325831127629786, 48.89088358328013], ""type"": ""Point""}";48.89088358328013,2.325831127629786
2540;18, RUE DU PETIT MUSC;75004;Paris;2014;PARIS HAB;15;4;7;0;4;acquisition conventionnement;;4;logement familial;653307.6771;6861544.5652;"{""coordinates"": [2.363683418108272, 48.852248547011634], ""type"": ""Point""}";48.852248547011634,2.363683418108272
2544;16, RUE PASCAL;75005;Paris;2014;PARIS HAB;23;6;10;0;7;acquisition conventionnement;;5;logement familial;652247.821;6859996.2203;"{""coordinates"": [2.349414338782012, 48.838246607408806], ""type"": ""Point""}";48.838246607408806,2.349414338782012
2546;85, RUE SAINT LAZARE;75009;Paris;2014;PARIS HAB;17;6;9;0;2;construction neuve;;9;logement familial;650868.0853;6864193.5785;"{""coordinates"": [2.330132304374441, 48.875889243733866], ""type"": ""Point""}";48.875889243733866,2.330132304374441
2556;1-3, RUE DU SOUDAN;75015;Paris;2014;PARIS HAB;53;13;24;0;16;acquisition conventionnement;;15;logement familial;648368.0651;6861341.0825;"{""coordinates"": [2.29639516394696, 48.850041735228004], ""type"": ""Point""}";48.850041735228004,2.29639516394696
3435;2, QUAI DE GEVRES;75004;Paris;2018;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;4;logement familial;652336.351;6862003.325;"{""coordinates"": [2.350395478364119, 48.856303013844574], ""type"": ""Point""}";48.856303013844574,2.350395478364119
