IDENT_PVP;N_SQ_CA;NUM_PVP;ADR_ORI;ADR_SUP;TYP_PROT;MOTIVATION
01-0417;1;417;1-15 rue de la Ferronnerie;;BP;Ensemble de maisons anciennes sur la rive opposée au grand ensemble protégé à l'inventaire supplémentaire des monuments historiques des 1-14 rue de la Ferronnerie (lotissement homogène du chapitre de Saint-Germain l'Auxerrois 1669-1678 par le maître-maçon Frémin Quénehan). Ces maisons implantées à l'ancien alignement sont au n°3-5 établies sur des parcelles traversantes vers la rue des Lombards. En dépit de remaniements de façade elles conservent pour l'essentiel leurs caractères d'origine du XVIIème siècle. On remarque plus particulièrement deux maisons plus bourgeoises et d'aspect XVIIIème en pierre de taille bien conservées aux n°11 et 13. Le 11 est attribué à l'architecte Jacques-Richard Cochois par Michel Gallet. Un mascaron féminin orne la clé de la porte. Baies cintrées soulignées par des bandeaux plats. Appuis de fenêtre en fer forgé conservés. N°15 transition Louis XV - Louis XVI.
01-0212;1;212;4 rue Jean-Jacques Rousseau;;BP;Maison à l'ancien alignement présentant une façade du XVIIIème siècle composée de quatre travées et de quatre étages carrés sur rez-de-chaussée et entresol.
01-0405;1;405;11 boulevard de la Madeleine;;BP;Immeuble représentatif de la typologie de l'immeuble haussmannien s'inscrivant dans les séquences historiques des Grands Boulevards parisiens.
01-0235;1;235;3-5 rue Montorgueil;;BP;Deux maisons  à l'ancien alignement  présentant une façade composée de cinq étages sur rez-de-chaussée. Garde-corps début XIXème. Lucarnes.
01-0434;1;434;3 rue des Petits Champs;2 rue de Beaujolais;BP;Maison présentant dans son aspect actuel une façade en pierre de taille du XVIIIème siècle rue de Richelieu sur des bases peut-être plus anciennes issues du lotissement du palais Cardinal. Composition de quatre travées et de quatre étages carrés sur rez-de-chaussée les deux travées centrales formant un léger avant-corps. Remarquables appuis de fenêtre en fer forgé Louis XV notamment au premier étage. Corniche saillante à la retombée du toit. Appuis de fenêtre en fer forgé conservés également rue de Beaujolais.
01-0101;1;101;35-37 rue des Petits Champs;;BP;Maison présentant dans son état actuel une façade en pierre de taille composée de quatre travées et de trois étages carrés portant des appuis de fenêtre en fer forgé de style Louis XIV. Ajout d'un balcon filant au XIXème siècle. Grande porte cochère.
01-0075;1;75;33-35 rue Radziwill;48 rue de Valois;BP;"Immeuble à loyer de la fin du XVIIIème siècle construit par le maçon Guireaud de Talairac après 1781. Il compte neuf étages et atteint une hauteur exceptionnelle pour l'époque. Cette hauteur avait à la fois un but spéculatif et publicitaire car il s'agissait d'attirer l'attention des visiteurs du Palais-Royal. Façade régulière en pierre de taille sans aucune modénature. A l'intérieur, un escalier circulaire à double révolution est éclairé par une verrière. ""Entre la rue de Beaujolais et la rue des Bons-Enfants existait un dénivellement qui a été mis à profit pour réaliser ce qui est probablement le premier passage parisien, le passage des Bons-Enfants. Celui-ci passait sous l'escalier et était faiblement éclairé par une ouverture zénithale."" (Werner Szambien : De la rue des Colonnes à la rue de Rivoli, 1992, Délégation à l'action artistique de la Ville de Paris éd.). Escalier ancien documenté à cette adresse."
01-0171;1;171;12 rue de Richelieu;9 rue de Montpensier;BP;"Maison du XVIIème siècle répertoriée in J.-P. Babelon Demeures parisiennes sous Henri IV et Louis XIII Hazan éd. Secteur loti à partir de 1634 par Le Barbier et Desportes au nord du jardin du Palais Cardinal. Aspect actuel : façade d'inspiration néoclassique avec balustres de pierre au premier étage et appuis de fenêtre en fer forgé de style Louis XVI. Maison Jean de Longueil-Maisons (avant 1684) selon Rochegude. ""Hôtel du XVIIème siècle"" habité de 1808 à 1809 par Marie-Joseph Chénier (Hillairet)."
01-0406;1;406;160 rue de Rivoli;;BP;Architecture ordonnancée. Immeubles édifiés selon les plans établis par les architectes Percier et Fontaine en 1802. Partie prolongée de la rue de Rivoli envisagée à partir de 1846 sur un rapport établi par Manguin Viel et Desjardins. Déclarée d'utilité publique en décembre 1852 elle est mise en oeuvre par une société immobilière dont les frères Pereire sont les principaux actionnaires et constitue l'une des premières opérations d'envergure du baron Haussmann. Elle est aussi unique en son genre par l'imposition de façades conçues initialement sous le Premier Empire par l'imposition de ravalement tous les dix ans (embryon de la loi sur le ravalement) et par l'obligation d'achever le chantier pour l'Exposition Universelle de 1855 qui imposera un rythme et une organisation des travaux exceptionnelle aux constructeurs.
01-0422;1;422;43 rue Sainte-Anne;;BP;Maison à porte cochère dite hôtel de Cursay. Il s'agit d'une importante maison de rapport bâtie en 1675 sur les plans de l'architecte Libéral Bruand. La maison consiste en un corps de logis composé de quatre étages et greniers au-dessus. La porte cochère était ornée d'un remarquable heurtoir en fonte de fer décoré d'un couple de dauphins affrontés. Après le vol de ce dernier dans les années 1970 il fut remplacé par un autre de même qualité. Un grand escalier à vide central et jour à départ gauche permet la distribution des appartements. Le garde-corps de serrurerie contemporain de la construction est composé d'un départ en console droite et est rythmé de balustres compartimentés en forme de figues.
01-0112;1;112;23 rue Saint-Roch;;BP;Dans son état actuel belle maison à l'alignement ancien présentant une façade du XVIIème siècle en pierre de taille composée de trois travées et de deux étages carrés sur un rez-de-chaussée et un niveau d'entresol. Balcon au premier et baies au second portant de beaux appuis de fenêtre en fer forgé du XVIIIème siècle. La porte cochère est insérée dans une grande arcature englobant l'entresol et est ornée de refends. Double lucarne maçonnée.
04-0070;4;70;10 rue Saint-Louis en l'Ile;;BP;Ile Saint-Louis. Maison à loyer. Datant des années 1640 cette maison à loyer large de quatre travées s'élève à l'alignement sur rue sur trois niveaux surmontés d'un étage sous comble. La façade enduite et dépourvue de toute ornementation possède un passage cocher donnant accès à une grande cour pavée bordée de bâtiments aux volumétries irrégulières. Le bâtiment adossé en fond de parcelle est distribué par un escalier à volées tournantes porté par quatre noyaux avec une rampe à balustres de bois documenté à cette adresse.
06-0868;6;868;33 rue du Dragon;;BP;Maison construite en 1784 par Raveneau  carrossier de la Cour présentant une façade sur rue en pierre de taille composée de quatre travées et de trois étages carrés sur un rez-de-chaussée et un niveau d'entresol. Baies légèrement cintrées. Appuis de fenêtre en fer forgé de style Régence aux deux premiers étages. Maison faisant partie d'un lotissement s'étendant du 27 au 33 rue du Dragon.
01-0169;1;169;25 rue de l'Arbre Sec;;BP;Maison présentant une façade en pierre de taille d'aspect de la fin du XVIIIème siècle sur des bases sans doute plus anciennes. Façade composée de deux travées. Appuis soutenus par des consoles en dés et présentant des garde-corps à motifs d'ogive. Ancres métalliques visibles en façade.
08-0203;8;203;34 rue Pasquier;54 rue des Mathurins;BP;Immeuble de bureaux ancien siège de la société financière française et coloniale construit en 1929 par les architectes Alex et Pierre Fournier. Cet immeuble se distingue par le traitement de son porche d'entrée sur deux niveaux et par les motifs sculptés de G. Saupique incrustés de marbre de couleur d'émaux de Venise et de mosaïque. Inspirés par la faune exotique ils représentent les différentes colonies françaises. Les pilastres encadrant la porte sont surmontés d'un avant-corps en saillie incurvée du deuxième et troisième étage. Les fenêtres du premier étage sont surmontées de clés plates. Au deuxième étage de part et d'autre de la fenêtre centrale deux bas-reliefs ornent la façade représentant à gauche un chameau et à droite un éléphant. D'autres bas-reliefs se trouvent entre les trois fenêtres à droite au même étage représentant successivement un crocodile un requin un tigre et un serpent ainsi que sous l'entablement à la retombée du toit. Deux corniches limitent le premier et le deuxième étage. Balcon en pierre au deuxième étage.
01-0214;1;214;10 rue Jean-Jacques Rousseau;;BP;Maison d'aspect du XVIIIème siècle à l'ancien alignement. Façade sur rue composée de quatre travées et de quatre étages carrés sur rez-de-chaussée. Appuis de fenêtre en fer forgé Louis XV. Section de rue datant du XIIIème siècle.
14-0235;14;235;98 boulevard Arago;61 avenue de l'Observatoire;EPP;"Méridienne de l'Observatoire. Petit bâtiment construit dans le parc de l'Observatoire en 1951 et destiné à mesurer le passage des astres au méridien de Paris, mesure nécessaire à la détermination de l'heure sidérale. Le pavillon doit abriter un nouvel instrument appelé ""instrument des passages"" qui est une haute lunette mobile pointée vers le haut et devant rester dans le plan du méridien. L'organisation en plan revient à l'architecte Rémondet, les façades et la couverture sont réalisées par Jean Prouvé. Le programme est très technique (couverture coulissante, toiture escamotable  notamment). Le bâtiment est composé de trois éléments sur un plan en croix orienté est-ouest. Des éléments de jonction assurent l'autonomie des toitures, préservant toute la pureté de la voûte en aluminium de la nef. Ouvrage exemplaire dans l'oeuvre de J. Prouvé. Désaffectée, elle sert actuellement de rangement au jardinier du parc. Publié in Jean Prouvé à Paris Picard/Pavillon de l'Arsenal éditeurs pp. 193-197."
01-0167;1;167;6-8 rue de la Petite Truanderie;;BP;Deux maisons présentant chacune une façade composée de deux travées et de quatre étages carrés sur rez-de-chaussée. Représentatives de l'habitat ordinaire au XVIIème siècle.
