Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN43161;2022-02-08;;CÔTE ORIENT;45 rue de Berri 75008;Contre-terrasse estivale sur stationnement (L=5,50m l=1,80m);8;75108;48.87440399979826,2.307596999587374
DSN43183;2022-02-09;;BISTRO GENERAL;17 rue Eugene Sue 75018;Contre-terrasse estivale sur stationnement (L=11,00m l=1,70m);18;75118;48.891253000350645,2.347071000471184
DSN40369;2022-01-25;;LE BISTROT;151 avenue Parmentier 75010;Contre-terrasse permanente sur stationnement (L=7,00m l=1,50m);10;75110;48.87133100029937,2.369874000147061
DSN40477;2022-01-27;;CORETTA;151b rue Cardinet 75017;Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=6,50m);17;75117;48.89046499990206,2.31704999935275
DSN43236;2022-02-09;;AU BONHEUR DES JEUX;21 boulevard de Charonne 75011;Terrasse estivale sur trottoir face à la devanture (L=9,50m l=2,50m);11;75111;48.84980699967911,2.398637999603646
DSN43274;2022-02-09;;LES COPAINS;11 rue de Paradis 75010;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,00m);10;75110;48.874605999887955,2.353961000120969
DSN43323;2022-02-09;;AU VIEUX PARIS;2 rue de Sully 75004;Contre-terrasse estivale sur stationnement (L=8,80m l=2,00m);4;75104;48.84993400015523,2.3643730001040693
DSN43349;2022-02-09;;LES AFFRANCHIS;28 boulevard Voltaire 75011;"Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,50m) ; Terrasse estivale sur trottoir face à la devanture (L=6,00m l=0,60m)";11;75111;48.8642760002165,2.368923999775025
DSN43358;2022-02-09;;PIZZA SAN MARCO;52 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=3,50m l=1,80m);11;75111;48.86256499991614,2.379864999872075
DSN35324;2021-10-08;;LE SAINT REGIS;39 rue d'Orsel 75018;Contre-terrasse permanente sur stationnement (L=11,00m l=1,80m);18;75118;48.883578999626465,2.342997999813827
DSN35336;2021-10-09;;EPOCA;17 rue Oudinot 75007;Contre-terrasse estivale sur stationnement (L=8,00m l=2,00m);7;75107;48.85014799978025,2.31788200023096
DSN37862;2021-11-01;;CAFE ETIENNE MARCEL;64 rue Tiquetonne 75002;"Contre-terrasse estivale sur trottoir face à la devanture (L=18,13m l=1,10m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=4,57m l=1,10m)";2;75102;48.86484300033701,2.345531999951215
DSN37865;2021-11-01;;SEAFOOD;1 rue de Turenne 75004;Contre-terrasse permanente sur stationnement (L=14,00m l=1,70m);4;75104;48.85485000030849,2.363029000370223
DSN40524;2022-01-28;;LE PINARDIER;65 rue de Bretagne 75003;Contre-terrasse estivale sur voie piétonne (L=13,00m l=2,50m);3;75103;48.86426299994669,2.360079999549509
DSN40564;2022-01-28;;LA SARRASINE;12 rue Jean du Bellay 75004;Contre-terrasse estivale sur stationnement (L=7,00m l=2,00m);4;75104;48.85320199982361,2.353931000658304
DSN43368;2022-02-09;;JIEMEI;38 rue Pernety 75014;Terrasse estivale sur trottoir face à la devanture (L=3,00m l=0,40m);14;75114;48.83377000024633,2.318560000168635
DSN43445;2022-02-10;;BOBBY;29 rue Lambert 75018;"Terrasse estivale sur trottoir face à la devanture (L=12,00m l=0,70m) ; Terrasse estivale sur trottoir face à la devanture (L=3,00m l=1,50m) ; Contre-terrasse estivale sur voie piétonne (L=8,00m l=1,00m)";18;75118;48.889151000226754,2.34478999967574
DSN43512;2022-02-10;;LA BOÎTE AUX LETTRES;108 rue Lepic 75018;Contre-terrasse permanente sur stationnement (L=7,20m l=1,74m);18;75118;48.88683200020508,2.338202000301251
DSN35413;2021-10-11;;DELITALY;15 rue Rambuteau 75004;Contre-terrasse estivale sur stationnement (L=3,65m l=0,60m);4;75104;48.8604729997791,2.355466999641552
DSN35486;2021-10-12;;FIRST LAP;7 rue Manuel 75009;Contre-terrasse estivale sur stationnement (L=9,20m l=1,40m);9;75109;48.87824399974176,2.340466999719658
DSN43592;2022-02-10;;THÉ LAB;6 rue Bichat 75010;Contre-terrasse estivale sur stationnement (L=6,00m l=2,80m);10;75110;48.86982800043225,2.369208999833968
DSN43636;2022-02-10;;THÉ COOL;10 rue Jean Bologne 75016;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);16;75116;48.85702900007562,2.280330000509549
DSN35554;2021-10-13;;LES IMPERTINENTES;46 rue Tiquetonne 75002;Terrasse estivale sur trottoir face à la devanture (L=1,80m l=0,70m);2;75102;48.86480300016513,2.347227000102458
DSN38261;2021-11-06;;MARCEL;1 Villa Leandre 75018;Contre-terrasse permanente sur stationnement (L=4,90m l=1,73m);18;75118;48.888412999940506,2.33531499978478
DSN41011;2022-01-30;;SENSO;49 rue Olivier de Serres 75015;Contre-terrasse estivale sur stationnement (L=4,90m l=1,90m);15;75115;48.83431399976989,2.295612999444967
DSN43766;2022-02-11;;BISTRO COBALT;124 avenue du Maine 75014;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=10,90m l=3,10m);14;75114;48.83563300024422,2.323434000346325
DSN35665;2021-10-15;;CAFÉ DES ARTS ET MÉTIERS;51 rue de Turbigo 75003;Terrasse estivale sur trottoir face à la devanture (L=13,00m l=2,00m);3;75103;48.86537400002983,2.355244999709221
DSN35792;2021-10-18;;PASSAGER;107 avenue Ledru rollin 75011;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=10,00m l=0,40m);11;75111;48.85269800027956,2.376775000364594
DSN38438;2021-11-09;;AU XV DU ROND POINT;5 rue de Ponthieu 75008;Contre-terrasse permanente sur stationnement (L=15,00m l=1,80m);8;75108;48.87012300041878,2.311147000122902
DSN38437;2021-11-09;;LE SAINT GEORGES;23 rue d'Abbeville 75009;"Contre-terrasse permanente sur stationnement (L=5,38m l=1,80m) ; Contre-terrasse permanente sur stationnement (L=3,15m l=1,80m)";9;75109;48.87923800001108,2.348830999599934
