N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750004940;75056;RUE;DE;BUDAPEST;R. de Budapest;Rue de Budapest;750561363;O;O;1358;"{""coordinates"": [[2.327782708989206, 48.875717433992044], [2.327737844403216, 48.87584277188788], [2.327329459916279, 48.87692752673244], [2.327305782695518, 48.87704622847391], [2.327270324989588, 48.87709789847593], [2.327171817719054, 48.877109446339304], [2.326913183693751, 48.877113758971106]], ""type"": ""LineString""}";40;P;750001537;184.5388478;48.87654575242213,2.327441264101548
750007167;75056;RUE;DU;CHEVALIER DE SAINT-GEORGE;R. du Chevalier de Saint-George;Rue du Chevalier de Saint-George;750561993;O;O;1996;"{""coordinates"": [[2.324586596341491, 48.867934569111206], [2.324673957261768, 48.86805647447674], [2.325031161527793, 48.868585050968505], [2.325319585743663, 48.869011830232374]], ""type"": ""LineString""}";58;P;750001537;131.30528047;48.8684721586853,2.324954586609234
750007408;75056;PL;;JEAN DELAY;Pl. Jean Delay;Place Jean Delay;750564878;O;O;4948;"{""coordinates"": [[2.354572936597588, 48.82329358285345], [2.354384951030263, 48.82325229034321], [2.354163053601364, 48.82332598511426]], ""type"": ""LineString""}";72;P;750001537;32.78218477;48.82328182288485,2.354366533826029
750006946;75056;VLA;;BOLERO;Vla. Boléro;Villa Boléro;750561084;O;O;1090;"{""coordinates"": [[2.386181390928782, 48.88967272688793], [2.385942824337574, 48.890064042937496]], ""type"": ""LineString""}";101;V;750001537;46.89839755;48.88986838491272,2.386062107633178
750005364;75056;RUE;DE;CHAUMONT;R. de Chaumont;Rue de Chaumont;750561945;O;O;1936;"{""coordinates"": [[2.372322738223892, 48.88163543995732], [2.3718184257191712, 48.88112103250959], [2.3715991449565372, 48.88088154231852], [2.371482892525098, 48.88076034634184], [2.37119030382239, 48.88044514973897]], ""type"": ""LineString""}";176;P;750001537;156.26988367;48.881043805447725,2.37175284311324
750006450;75056;IMP;;CHAUSSON;Imp. Chausson;Impasse Chausson;750561953;O;O;1942;"{""coordinates"": [[2.366209059300188, 48.87562976928809], [2.367194609894889, 48.875163503503344]], ""type"": ""LineString""}";180;P;750001537;88.95852319;48.87539663639572,2.3667018345975386
750005837;75056;PAS;;COLBERT;Pas. Colbert;Passage Colbert;750562182;O;O;2184;"{""coordinates"": [[2.339284846032319, 48.86619707714351], [2.339242114741388, 48.866236484348946], [2.339286950189567, 48.86632029536537], [2.339115830385193, 48.86636157661125]], ""type"": ""LineString""}";219;V;750001537;28.636896319999998;48.86630095526415,2.33923058423457
750004000;75056;RUE;DE;BAGNOLET;R. de Bagnolet;Rue de Bagnolet;750560626;O;O;0612;"{""coordinates"": [[[2.394503410010836, 48.85658094574836], [2.395356943871751, 48.85669609268687], [2.39563403536722, 48.856720877308526], [2.395983351489506, 48.8567521252464], [2.39687269053061, 48.85683167502433], [2.397119662460526, 48.85685376552616], [2.397181009928677, 48.85685925482698], [2.3973616812424, 48.856893924531754], [2.397698324350412, 48.85695852784725], [2.397852101022106, 48.85698758171321], [2.398130219904517, 48.85708034552017], [2.3983671089616, 48.85715934373457], [2.398907903371937, 48.857339704871144], [2.399332458001324, 48.8575803874138], [2.400381017712399, 48.858177537108425], [2.400694745574606, 48.85835619163451], [2.401147536089101, 48.85861403793958], [2.401260165947168, 48.85867818252309], [2.401521036027813, 48.85882673902324], [2.401969866439849, 48.85906100572595], [2.402118388668879, 48.85915079377218], [2.402235362944698, 48.85922150902669], [2.402804144950651, 48.859514659901514], [2.402855425187103, 48.85954188713273], [2.403089314685723, 48.85966610317043], [2.403812455567973, 48.860050219506995], [2.403970840273619, 48.86012149362317], [2.404116557332765, 48.86018706376391], [2.4041724843971313, 48.86021223696131], [2.404656991340149, 48.860655112484665], [2.404941449741628, 48.86091591309089], [2.40531269534993, 48.86128853862468], [2.4058485445835682, 48.86184429213094]], [[2.404873079597679, 48.861051483605166], [2.404966299878867, 48.861067902389195], [2.405613044478374, 48.86173102690087], [2.405735487192078, 48.861815223433], [2.4058485445835682, 48.86184429213094], [2.406331595343345, 48.862345281796834], [2.406666115671128, 48.86268900529726], [2.406776021833218, 48.86280194082161], [2.407677174914647, 48.86374110000505], [2.408164184329017, 48.8642486444319], [2.40826240147994, 48.864351010910134], [2.408287915489645, 48.86436897995902], [2.408322830002507, 48.86438343678877], [2.408621867391357, 48.86445044248737]], [[2.408648250141103, 48.864295345897006], [2.408271111094706, 48.86427523242452], [2.408164184329017, 48.8642486444319]]], ""type"": ""MultiLineString""}";266;P;750001537;1569.77795595;48.85986717984668,2.4024332648935087
750003346;75056;RUE;DU;JAVELOT;R. du Javelot;Rue du Javelot;750564844;O;O;4755;"{""coordinates"": [[[2.366141115817964, 48.82532458144346], [2.366590973762981, 48.824546708354205], [2.365790790468231, 48.824357547563174], [2.365627263697064, 48.82435946016773], [2.3654840683650242, 48.82452604192396], [2.364824796499141, 48.825727890259344], [2.364689424483375, 48.8257185173863], [2.364404710798858, 48.826203106647505], [2.364194934143351, 48.826320360911], [2.364006390952496, 48.82629111709989], [2.363614484188549, 48.82620090522061], [2.363507290472697, 48.82621801735132], [2.363403813124084, 48.826254831082494]], [[2.366141115817964, 48.82532458144346], [2.366782054489752, 48.82547981663612]], [[2.365045836027096, 48.82682229594298], [2.365878963214308, 48.82527602571113], [2.366141115817964, 48.82532458144346]]], ""type"": ""MultiLineString""}";346;O;750001537;732.40510053;48.825453433631196,2.3654135870898
750003632;75056;RUE;;DIEU;R. Dieu;Rue Dieu;750562799;O;O;2824;"{""coordinates"": [[2.363763547792948, 48.86992678245805], [2.365401904378101, 48.870756625747], [2.365476922068843, 48.870828188996676], [2.365862106281913, 48.87096091313059], [2.365906450990495, 48.87103131532195]], ""type"": ""LineString""}";358;P;750001537;201.54875657;48.870475984683,2.364845962507806
750005707;75056;QU;DE LA;MEGISSERIE;Qu. de la Mégisserie;Quai de la Mégisserie;750566249;O;O;6164;"{""coordinates"": [[2.34684337110704, 48.85731970913294], [2.346001980252988, 48.85754505071966], [2.345430495525369, 48.857698099224834], [2.344394577854776, 48.857967742920685], [2.343370832964946, 48.85824020004779], [2.342736164667389, 48.85840930030761], [2.342487449716632, 48.85849330574018]], ""type"": ""LineString""}";388;P;750001537;345.2998927;48.85789910158069,2.344663165685108
750001313;75056;RUE;;JEAN LECLAIRE;R. Jean Leclaire;Rue Jean Leclaire;750564907;O;O;4813;"{""coordinates"": [[2.325369347376335, 48.89346898010483], [2.325610379297701, 48.893880422061734], [2.326552049668265, 48.89547923919327], [2.326631646393146, 48.89560954166191], [2.32670366342338, 48.89572744296677], [2.32675053613064, 48.89581043238796], [2.32717922225695, 48.89656939294002], [2.327470598924558, 48.89705771408675], [2.327564348755149, 48.89723482478622], [2.327776597554783, 48.897494605093904]], ""type"": ""LineString""}";409;P;750001537;481.45284904;48.89549301824122,2.3265577103326405
750003633;75056;RUE;;DIEUDONNE COSTES;R. Dieudonné Costes;Rue Dieudonné Costes;750562800;O;O;2822;"{""coordinates"": [[2.370379115299142, 48.82097178739792], [2.370448623970138, 48.82085003130031], [2.370360314369508, 48.820738197213004], [2.37027557262985, 48.82066365477758], [2.369181274767326, 48.82025381488147], [2.368944810226308, 48.8202166073077], [2.368866176434453, 48.82023472309464]], ""type"": ""LineString""}";414;P;750001537;155.19160257;48.82049387343359,2.3697460910598807
750003625;75056;RUE;;EMILE BERTIN;R. Emile Bertin;Rue Emile Bertin;750563211;O;O;3244;"{""coordinates"": [[2.36561980837726, 48.89859139234663], [2.365577501356446, 48.899262883095155], [2.36553659743039, 48.899289430927084]], ""type"": ""LineString""}";418;P;750001537;78.94174701;48.89895072401758,2.365595843219853
750003957;75056;RUE;DE;BELLIEVRE;R. de Bellièvre;Rue de Bellièvre;750560843;O;O;0837;"{""coordinates"": [[2.372782442686379, 48.83832559099805], [2.372666235003814, 48.83824636639427], [2.371538868852994, 48.83737435876224], [2.371397438987102, 48.837260752498125]], ""type"": ""LineString""}";439;P;750001537;156.08358036;48.83779748194273,2.372086736684056
750001226;75056;RUE;;LE CHATELIER;R. Le Chatelier;Rue Le Chatelier;750565439;O;O;5374;"{""coordinates"": [[2.2956804511260502, 48.88513637732958], [2.295678496026778, 48.88527427140987], [2.29577184157518, 48.8861884816115], [2.295785028308644, 48.88646672180298]], ""type"": ""LineString""}";452;P;750001537;148.17756742;48.88580141663586,2.295731560541389
750001805;75056;RUE;DE;CHEROY;R. de Chéroy;Rue de Chéroy;750561984;O;O;1978;"{""coordinates"": [[2.318898759904493, 48.8819169797804], [2.318633234988023, 48.882304849799034], [2.318158684142246, 48.88299523815175]], ""type"": ""LineString""}";477;P;750001537;131.61214516;48.88245627089324,2.318528958079477
